rank_50states_2017,rank_all_states_territory_2017,State or territory,pop_2017,census_2010,pc_increase_2010-2017,seats,pc_total_popn
1,1,California,39536653,37252895,6.13,53,12.14
2,2,Texas,28304596,25146105,12.56,36,8.69
3,4,Florida,20984400,18804623,11.59,27,6.44
4,3,New York,19849399,19378087,2.43,27,6.09
5,6,Pennsylvania,12805537,12702887,0.81,18,3.93
6,5,Illinois,12802023,12831549,-0.23,18,3.93
7,7,Ohio,11658609,11536725,1.06,16,3.58
8,9,Georgia,10429379,9688681,7.64,14,3.20
9,10,North Carolina,10273419,9535692,7.74,13,3.15
10,8,Michigan,9962311,9884129,0.79,14,3.06
11,11,New Jersey,9005644,8791936,2.43,12,2.76
12,12,Virginia,8470020,8001045,5.86,11,2.60
13,13,Washington,7405743,6724543,10.13,10,2.27
14,16,Arizona,7016270,6392307,9.76,9,2.15
15,14,Massachusetts,6859819,6547817,4.76,9,2.11
16,17,Tennessee,6715984,6346275,5.83,9,2.06
17,15,Indiana,6666818,6484229,2.82,9,2.05
18,18,Missouri,6113532,5988927,2.08,8,1.88
19,19,Maryland,6052177,5773785,4.82,8,1.86
20,20,Wisconsin,5795483,5687289,1.90,8,1.78
21,22,Colorado,5607154,5029324,11.49,7,1.72
22,21,Minnesota,5576606,5303925,5.14,8,1.71
23,24,South Carolina,5024369,4625401,8.63,7,1.54
24,23,Alabama,4874747,4780127,1.98,7,1.50
25,25,Louisiana,4684333,4533479,3.33,6,1.44
26,26,Kentucky,4454189,4339349,2.65,6,1.37
27,27,Oregon,4142776,3831073,8.14,5,1.27
28,28,Oklahoma,3930864,3751616,4.78,5,1.21
29,30,Connecticut,3588184,3574118,0.39,5,1.10
30,31,Iowa,3145711,3046869,3.24,4,0.97
31,35,Utah,3101833,2763888,12.23,4,0.95
32,33,Arkansas,3004279,2915958,3.03,4,0.92
33,36,Nevada,2998039,2700691,11.01,4,0.92
34,32,Mississippi,2984100,2968103,0.54,4,0.92
35,34,Kansas,2913123,2853132,2.10,4,0.89
36,37,New Mexico,2088070,2059192,1.40,3,0.64
37,39,Nebraska,1920076,1826341,5.13,3,0.59
38,38,West Virginia,1815857,1853011,-2.01,3,0.56
39,40,Idaho,1716943,1567652,9.52,2,0.53
40,41,Hawaii,1427538,1360301,4.94,2,0.44
41,43,New Hampshire,1342795,1316466,2.00,2,0.41
42,42,Maine,1335907,1328361,0.57,2,0.41
43,44,Rhode Island,1059639,1052931,0.64,2,0.33
44,45,Montana,1050493,989417,6.17,1,0.32
45,46,Delaware,961939,897936,7.13,1,0.30
46,47,South Dakota,869666,814191,6.81,1,0.27
47,49,North Dakota,755393,672591,12.31,1,0.23
48,48,Alaska,739795,710249,4.16,1,0.23
49,50,Vermont,623657,625745,-0.33,1,0.19
50,52,Wyoming,579315,563767,2.76,1,0.18
